assumption_id,category,parameter_name,symbol_or_field,scope_or_key,value_numeric,value_text,unit,sensitivity_low,sensitivity_high,formula_or_rule,evidence_classification,source_title,source_url,source_path,source_locator,rationale,applicability,limitation,uncertainty_treatment,accessed_on
network.gain_mass_fraction,gain_splitting,Surface gains assigned to mass node,Phi_m,global,,derived hourly,W,,,Phi_m = (A_m/A_t) * (0.5 * Phi_int + Phi_sol),normative_equation,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C.2, Eq. C.2",Completes the standard gain split without introducing a separate empirical radiative fraction.,All simulations,,Fixed in the central case,2026-07-29
network.gain_surface_fraction,gain_splitting,Remaining gains assigned to surface node,Phi_st,global,,derived hourly,W,,,"Phi_st = (1 - A_m/A_t - H_tr,w/(9.1*A_t)) * (0.5 * Phi_int + Phi_sol)",normative_equation,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C.2, Eq. C.3",Completes the ISO 5R1C solar and internal-gain allocation.,All simulations,,Fixed in the central case,2026-07-29
boundary.exterior,boundary_correction,Exterior-air boundary,R_add; b_tr,Ext,,R_add=0; b_tr=1,m2K/W; 1,,,U_eff = 1/(1/U + R_add); H = A * U_eff * b_tr,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 9, Table 2","Reference treatment for facades, roofs, doors, and other elements directly exposed to outside air.",All simulations,,Fixed in the central case,2026-07-29
boundary.unheated_room,boundary_correction,Boundary to unheated room,R_add; b_tr,Unh,,R_add=0.3; b_tr=1,m2K/W; 1,,,U_eff = 1/(1/U + 0.3),TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 9, Table 2",Applied to exterior_wall_bordering_unheated_neighboring_spaces_m2.,All simulations,,Fixed in the central case,2026-07-29
boundary.unheated_cellar,boundary_correction,Floor over unheated cellar/space,R_add; b_tr,Cellar,,R_add=0.3; b_tr=0.5,m2K/W; 1,,,H = A * (1/(1/U + 0.3)) * 0.5,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 9, Table 2",Applied to floor_bordering_unheated_neighboring_spaces_m2.,All simulations,,Fixed in the central case,2026-07-29
boundary.soil,boundary_correction,Floor on soil,R_add; b_tr,Soil,,R_add=0; b_tr=0.5,m2K/W; 1,,,H = A * U_floor * 0.5,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 9, Table 2",Applied to floor_on_soil_m2.,All simulations,A fixed reduction factor does not represent dynamic ground temperature or slab geometry.,Fixed in the central case,2026-07-29
boundary.party_elements,boundary_correction,Party walls/floors,H_party,global,0,,W/K,,,,geometry_contract,Belgian national base physical archetype matrix,,BE_building_stock/data/matrices/national/base_physical_archetype_matrix.csv,Exposed-envelope area columns,Shared elements are not included in exposed-envelope areas and are treated as adiabatic.,All simulations,Heat transfer to differently conditioned neighbouring dwellings is not represented.,Fixed in the central case,2026-07-29
boundary.thermal_bridges,boundary_correction,Thermal-bridge surcharge,Delta_U_tbr,global,0,,W/m2K,,,Do not add a global Delta_U or sum(Psi * L).,Belgian_TABULA_scope,Belgian Building Typologies — National Scientific Report (VITO/TABULA),https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf,,"Section 4.2.3, printed page 44 / PDF page 55",The Belgian TABULA typology explicitly states that thermal bridges were not taken into account; no consistent archetype-level Belgian junction data are available.,All simulations,Transmission losses will be underestimated where thermal bridges are material.,Record as a structural limitation; do not invent a stock-wide correction in the central model.,2026-07-29
solar.glazing_single,solar,Normal-incidence total solar energy transmittance,g_n,U_window=5.0 W/m2K; pre-1971 single glazing,0.85,,1,,,,derived_mapping,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex G, Table G.1 (single glazing); Belgian mapping: VITO report Table 10, printed pages 47–48 / PDF pages 58–59",Combines the Belgian glazing description with the ISO default g-value for that glazing type.,All simulations,,Fixed in the central case,2026-07-29
solar.glazing_double,solar,Normal-incidence total solar energy transmittance,g_n,U_window=3.5 W/m2K; 1971–2005 double glazing,0.75,,1,,,,derived_mapping,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex G, Table G.1 (double glazing); Belgian mapping: VITO report Table 10, printed pages 47–48 / PDF pages 58–59",Combines the Belgian glazing description with the ISO default g-value for that glazing type.,All simulations,,Fixed in the central case,2026-07-29
solar.glazing_low_e_2_0,solar,Normal-incidence total solar energy transmittance,g_n,U_window=2.0 W/m2K; post-2005/EPB2010 high-performance double glazing,0.67,,1,,,,derived_mapping,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex G, Table G.1 (double selective low-e glazing); Belgian mapping: VITO report Table 10, printed pages 47–48 / PDF pages 58–59",The Belgian report specifies high-performance glazing with Ug=1.1 W/m2K; ISO low-e double glazing is the closest published class.,All simulations,,Fixed in the central case,2026-07-29
solar.glazing_low_e_1_6,solar,Normal-incidence total solar energy transmittance,g_n,U_window=1.6 W/m2K; Low Energy package,0.67,,1,,,,derived_mapping,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex G, Table G.1 (double selective low-e glazing); Belgian mapping: VITO report Table 10, printed pages 47–48 / PDF pages 58–59",The improved whole-window U-value is attributed to the frame while the Belgian package retains Ug=1.1 glazing.,All simulations,,Fixed in the central case,2026-07-29
solar.frame_fraction,solar,Window frame-area fraction,F_F,global,0.3,,1,0.2,0.3,A_glazing = A_window * (1 - F_F),TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Prevents the total window opening from being treated as transparent glazing.,All simulations,,Use 0.2–0.3 as a sensitivity range if solar assumptions are tested.,2026-07-29
solar.non_normal_factor,solar,Non-normal incidence reduction factor,F_W,global,0.9,,1,,,,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Reduces normal-incidence g-values for real incidence-angle distributions.,All simulations,,Fixed in the central case,2026-07-29
solar.external_shading_vertical,solar,Fixed external shading factor,F_sh,vertical windows,0.6,,1,0.6,1,,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Represents aggregate obstruction and external shading in the reference calculation.,All simulations,"Does not resolve orientation-specific urban form, blinds, or time-varying occupant action.",Use 0.6–1.0 as a deterministic sensitivity range; central case remains 0.6.,2026-07-29
solar.external_shading_horizontal,solar,Fixed external shading factor,F_sh,horizontal glazing,0.8,,1,,,,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Completes the TABULA shading contract.,Only if horizontal glazing is added; current archetypes provide vertical facade windows only.,,Fixed in the central case,2026-07-29
solar.gain_equation,solar,Transmitted window solar gains,Phi_sol,global,,derived hourly by orientation,W,,,Phi_sol = sum_orientation(I_facade * A_window * (1-F_F) * g_n * F_W * F_sh),derived_equation,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 19, solar-gain equations and Page 7, Table 1 factors",Uses the thesis facade-transposed irradiance directly and applies each transparent-area reduction exactly once.,All simulations,,Fixed in the central case,2026-07-29
solar.dynamic_shading,solar,Dynamic movable shading,"F_sh,move",global,,disabled,,,,,model_assumption,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,Clause 11.4.3 permits time-dependent movable shading,A fixed TABULA external shading factor is already applied; disabling a second generic device factor avoids double counting.,All simulations,Occupant-controlled blinds are not represented.,May be introduced later only as an explicit behavioural scenario.,2026-07-29
solar.opaque_gains,solar,Solar gains through opaque elements,"Phi_sol,opaque",global,0,,W,,,,model_assumption,,,,,"Archetypes do not supply solar absorptance, surface resistance, or long-wave correction inputs needed for a consistent calculation.",All simulations,May understate roof/wall gains during sunny conditions; document in validation.,Fixed in the central case,2026-07-29
solar.sky_longwave,solar,Additional long-wave exchange with sky,Phi_r,global,0,,W,,,,model_assumption,,,,,The weather/archetype layers do not provide sky temperature or surface-emissivity inputs.,All simulations,External-surface radiative cooling is embedded only indirectly in measured outdoor air conditions and U-values.,Fixed in the central case,2026-07-29
air.rho,ventilation,Air density,rho_air,global,1.2,,kg/m3,,,,project_constant,Belgian building-stock model documentation,,BE_building_stock/docs/BE_BUILDING_STOCK_MODEL.md,"Section 5.3, lines 183–191",Keeps ventilation heat-loss calculations consistent with the completed archetype layer.,All simulations,,Fixed in the central case,2026-07-29
air.cp,ventilation,Specific heat capacity of air,"c_p,air",global,1005,,J/kgK,,,,project_constant,Belgian building-stock model documentation,,BE_building_stock/docs/BE_BUILDING_STOCK_MODEL.md,"Section 5.3, lines 183–191",Keeps ventilation heat-loss calculations consistent with the completed archetype layer.,All simulations,,Fixed in the central case,2026-07-29
ventilation.volume_basis,ventilation,Conditioned air volume,V_zone,global,,protected_volume_m3,m3,,,,project_input,Belgian national base physical archetype matrix,,BE_building_stock/data/matrices/national/base_physical_archetype_matrix.csv,protected_volume_m3 column,Uses dwelling-specific TABULA geometry rather than reconstructing volume from a reference height.,All simulations,,Fixed in the central case,2026-07-29
ventilation.volume_crosscheck,ventilation,Reference room-height volume cross-check,"h_room,v,ref",global,2.5,,m,,,"Compare protected_volume_m3 against 2.5 * floor_surface_area_m2; flag implausible ratios, but do not overwrite project volume.",TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Provides a reproducible geometry quality-control check.,All simulations,,Fixed in the central case,2026-07-29
ventilation.infiltration_input,ventilation,Normal-pressure infiltration airflow,Vdot_inf,global,,infiltration_airflow_normal_m3_h,m3/h,,,Use the precomputed project field; its upstream relation is q50 / 20.,project_input,Belgian national base physical archetype matrix,,BE_building_stock/data/matrices/national/base_physical_archetype_matrix.csv,"q50_m3_h, infiltration_n_factor, infiltration_airflow_normal_m3_h, and infiltration_ach_normal_h_1 columns",Avoids recalculating or accidentally applying the leakage conversion twice.,All simulations,"The rule-of-20 is only a rough leakage-to-infiltration estimate and does not resolve weather, shielding, stack effect, or building height.",Retain as central because it is embedded in the completed stock layer; test infiltration separately if it dominates results.,2026-07-29
ventilation.infiltration_rule_evidence,ventilation,Leakage-to-infiltration conversion status,infiltration_n_factor,global,20,,1,,,Vdot_inf = q50 / 20,screening_approximation,The Origin and Application of Leakage-Infiltration Ratios (NIST),https://www.nist.gov/publications/origin-and-application-leakage-infiltration-ratios,,Abstract and publication discussion of leakage-infiltration ratios,Documents rather than conceals the upstream screening approximation.,All simulations,NIST reports no physical basis for a universal ratio; it is climate- and building-dependent.,Fixed in the central case,2026-07-29
ventilation.use_rate_existing,ventilation,Use-related ventilation air-change rate,n_vent,existing_unspecified,0.4,,1/h,,,,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Represents occupant airing/ventilation separately from envelope infiltration.,All simulations,A uniform hourly rate does not resolve window-opening behaviour.,Fixed in the central case,2026-07-29
ventilation.use_rate_exhaust,ventilation,Use-related ventilation air-change rate,n_vent,exhaust_air_ventilation,0.4,,1/h,,,,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Uses the same TABULA reference air-change rate while distinguishing the system type.,All simulations,,Fixed in the central case,2026-07-29
ventilation.use_rate_balanced,ventilation,Balanced mechanical ventilation air-change rate,n_vent,balanced_mechanical_HRV,0.4,,1/h,,,,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Provides an explicit design-flow proxy where archetype-specific mechanical flow is unavailable.,All simulations,,Fixed in the central case,2026-07-29
ventilation.hrv_existing,ventilation,Heat-recovery efficiency,eta_HRV,existing_unspecified,0,,1,,,,Belgian_TABULA_mapping,Belgian TABULA renovation physical-state packages,,BE_building_stock/data/assumptions/renovation/renovation_physical_state_packages_TABULA.csv,TABULA_existing row,No recoverable mechanical supply/exhaust stream is assumed.,All simulations,,Fixed in the central case,2026-07-29
ventilation.hrv_exhaust,ventilation,Heat-recovery efficiency,eta_HRV,exhaust_air_ventilation,0,,1,,,,Belgian_TABULA_mapping,Belgian Building Typologies — National Scientific Report (VITO/TABULA),https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf,,"Section 4.2.3, printed page 50 / PDF page 61","The EPB2010 package specifies exhaust ventilation, not balanced heat recovery.",All simulations,,Fixed in the central case,2026-07-29
ventilation.hrv_balanced,ventilation,Heat-recovery efficiency,eta_HRV,balanced_mechanical_HRV,0.8,,1,,,,Belgian_TABULA_mapping,Belgian Building Typologies — National Scientific Report (VITO/TABULA),https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf,,"Section 4.2.3, printed page 50 / PDF page 61",The Belgian Low Energy package explicitly specifies mechanical ventilation with heat recuperation eta=0.8 and bypass.,All simulations,,Fixed in the central case,2026-07-29
ventilation.summer_bypass,ventilation,HRV summer-bypass rule,"eta_HRV,eff",summer_bypass=true,,temperature-controlled bypass,,,,"Set eta_HRV,eff=0 only when theta_air > theta_set_cool and theta_out < theta_air; otherwise eta_HRV,eff=eta_HRV.",model_assumption,Belgian Building Typologies — National Scientific Report (VITO/TABULA),https://episcope.eu/fileadmin/tabula/public/docs/scientific/BE_TABULA_ScientificReport_VITO.pdf,,"Section 4.2.3, printed page 50 / PDF page 61 confirms bypass availability",Prevents heat recovery from obstructing useful free cooling while retaining coolth recovery when outdoor air is hotter.,All simulations,"No fan, flow modulation, frost protection, or bypass hysteresis is modelled.",Fixed in the central case,2026-07-29
ventilation.heat_transfer,ventilation,Ventilation heat-transfer coefficient,H_ve,global,,derived hourly,W/K,,,"H_ve = rho_air * c_p,air * (Vdot_inf + (1-eta_HRV,eff)*n_vent*V_zone) / 3600",physical_equation,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Clause 9, ventilation heat-transfer calculation",Keeps infiltration unrecovered and applies HRV only to the controlled ventilation stream.,All simulations,,Fixed in the central case,2026-07-29
input.weather_temperature,time_series_input,Outdoor dry-bulb temperature,theta_e[t],global,,required hourly input,degC,,,,interface_contract,,,,,External temperature drives all transmission and ventilation branches.,All simulations,,Fixed in the central case,2026-07-29
input.facade_irradiance,time_series_input,Facade-transposed irradiance,I_N/E/S/W[t],global,,required hourly input by orientation,W/m2,,,,interface_contract,,,,,The climate layer already performs irradiance transposition; the thermal model must not transpose it again.,All simulations,Negative values are invalid and must raise a data-quality error.,Fixed in the central case,2026-07-29
input.internal_gains,time_series_input,Total sensible internal gains,Phi_int[t],global,,required hourly input from behavioural wrapper,W,,,,interface_contract,,,,,Keeps occupancy/appliance generation outside the deterministic thermal core while making the coupling explicit.,All simulations,The input must exclude space-heating/cooling output and avoid double counting solar gains.,Fixed in the central case,2026-07-29
